id,coordinates,location,date_installed
24E124136E140271,"(25.038138954219203, 60.17019884666942)",Laajasalo,2024-06-25
24E124136E140283,"(25.08559466020529, 60.31902912814716)",,2024-06-26
24E124136E140287,"(25.033164118825763, 60.17820925308568)",Laajasalo,2024-06-25
24E124136E146069,"(25.05280813096903, 60.32773642005459)",Koivukylä,2024-06-26
24E124136E146080,"(25.034850310632546, 60.32798317371719)",Koivukylä,2024-06-26
24E124136E146083,"(25.040422169662946, 60.3242806019864)",Koivukylä,2024-06-26
24E124136E146087,"(25.06572, 60.32294)",Koivukylä,2024-06-26
24E124136E146118,"(25.076084591672647, 60.32569598999893)",Koivukylä,2024-06-26
24E124136E146126,"(25.0811313318558, 60.16635041344928)",Laajasalo,2024-06-25
24E124136E146128,"(25.05953654541, 60.31962470187571)",Koivukylä,2024-06-26
24E124136E146155,"(25.056895458613138, 60.32381237386444)",Koivukylä,2024-06-26
24E124136E146157,"(25.050955366758195, 60.18089723029303)",Laajasalo,2024-06-25
24E124136E146167,"(25.01943622180639, 60.167472595257465)",Laajasalo,2024-06-25
24E124136E146186,"(25.03355598732001, 60.17338413916632)",Laajasalo,2024-06-25
24E124136E146190,"(25.058774546806518, 60.33326243702411)",Koivukylä,2024-06-26
24E124136E146198,"(25.089740958221043, 60.16370815865264)",Laajasalo,2024-06-25
24E124136E146218,"(25.071710650381757, 60.32108766558408)",Koivukylä,2024-06-26
24E124136E146224,"(25.051803506562962, 60.16760355134523)",Laajasalo,2024-06-25
24E124136E146235,"(25.054461721547142, 60.17791332910831)",Laajasalo,2024-06-25
24E124136E146237,"(25.068313113651286, 60.16354863794643)",Laajasalo,2024-06-25
